bundesland,review_board,bip,%bip,#subject_area,%subject_area,#institution_id,%institution_id,#project_id,%project_id,average_fundation,%average_fundation
Hessen,Mathematik,5965771,0.4070329061825459,1,1.0,5,0.15151515151515152,13,0.0755813953488372,6.0,0.9557522123893806
Hessen,Psychologie,5965771,0.4070329061825459,5,1.0,10,0.29411764705882354,24,0.32,3.375,0.48214285714285715
Hessen,Theologie,5965771,0.4070329061825459,3,1.0,6,0.5,8,0.5333333333333333,2.0,0.2857142857142857
Hessen,Sprachwissenschaften,5965771,0.4070329061825459,5,1.0,11,0.5238095238095238,22,0.4,4.7727272727272725,0.3977272727272727
Saarland,Alle,789584,0.053871774527590705,14,0.6086956521739131,11,0.13580246913580246,74,0.21574344023323616,4.5675675675675675,0.894731967833053
Saarland,Informatik,789584,0.053871774527590705,8,0.8888888888888888,8,0.21621621621621623,60,0.7894736842105263,4.733333333333333,0.9964912280701754
Saarland,Mathematik,789584,0.053871774527590705,1,1.0,2,0.06060606060606061,3,0.01744186046511628,2.0,0.3185840707964602
Saarland,Psychologie,789584,0.053871774527590705,2,0.4,2,0.058823529411764705,2,0.02666666666666667,5.5,0.7857142857142857
Saarland,Theologie,789584,0.053871774527590705,0,0.0,0,0.0,0,0.0,0.0,0.0
Saarland,Sprachwissenschaften,789584,0.053871774527590705,3,0.6,5,0.23809523809523808,9,0.16363636363636364,4.111111111111111,0.34259259259259256
Berlin,Alle,2726138,0.18599907250792452,21,0.9130434782608695,58,0.7160493827160493,210,0.6122448979591837,5.080952380952381,0.9952979249952407
Berlin,Informatik,2726138,0.18599907250792452,8,0.8888888888888888,28,0.7567567567567568,32,0.42105263157894735,4.15625,0.875
Berlin,Mathematik,2726138,0.18599907250792452,1,1.0,29,0.8787878787878788,97,0.563953488372093,5.814432989690721,0.9261928656144512
Berlin,Psychologie,2726138,0.18599907250792452,5,1.0,34,1.0,26,0.3466666666666667,4.961538461538462,0.7087912087912088
Berlin,Theologie,2726138,0.18599907250792452,2,0.6666666666666666,5,0.4166666666666667,7,0.4666666666666667,3.4285714285714284,0.4897959183673469
Berlin,Sprachwissenschaften,2726138,0.18599907250792452,5,1.0,21,1.0,55,1.0,4.654545454545454,0.3878787878787879
Brandenburg,Alle,1380513,0.09418970631168797,14,0.6086956521739131,19,0.2345679012345679,62,0.18075801749271136,5.032258064516129,0.9857592896225198
Brandenburg,Informatik,1380513,0.09418970631168797,6,0.6666666666666666,10,0.2702702702702703,24,0.3157894736842105,4.75,1.0
Brandenburg,Mathematik,1380513,0.09418970631168797,1,1.0,8,0.24242424242424243,19,0.11046511627906977,6.052631578947368,0.9641360037261294
Brandenburg,Psychologie,1380513,0.09418970631168797,3,0.6,7,0.20588235294117646,7,0.09333333333333334,6.428571428571429,0.9183673469387755
Brandenburg,Theologie,1380513,0.09418970631168797,1,0.3333333333333333,2,0.16666666666666666,1,0.06666666666666667,6.0,0.8571428571428571
Brandenburg,Sprachwissenschaften,1380513,0.09418970631168797,3,0.6,5,0.23809523809523808,16,0.2909090909090909,4.3125,0.359375
Schleswig-Holstein,Alle,1969231,0.13435678588312577,9,0.391304347826087,11,0.13580246913580246,17,0.04956268221574344,3.2941176470588234,0.6452783283501864
Schleswig-Holstein,Informatik,1969231,0.13435678588312577,2,0.2222222222222222,4,0.10810810810810811,3,0.039473684210526314,2.3333333333333335,0.4912280701754386
Schleswig-Holstein,Mathematik,1969231,0.13435678588312577,1,1.0,4,0.12121212121212122,6,0.03488372093023256,3.3333333333333335,0.5309734513274337
Schleswig-Holstein,Psychologie,1969231,0.13435678588312577,3,0.6,3,0.08823529411764706,6,0.08,3.0,0.42857142857142855
Schleswig-Holstein,Theologie,1969231,0.13435678588312577,0,0.0,0,0.0,0,0.0,0.0,0.0
Schleswig-Holstein,Sprachwissenschaften,1969231,0.13435678588312577,3,0.6,2,0.09523809523809523,2,0.03636363636363636,5.5,0.4583333333333333
Mecklenburg-Vorpommern,Alle,885012,0.060382640628751476,8,0.34782608695652173,7,0.08641975308641975,17,0.04956268221574344,4.294117647058823,0.8411663923136359
Mecklenburg-Vorpommern,Informatik,885012,0.060382640628751476,2,0.2222222222222222,2,0.05405405405405406,7,0.09210526315789473,3.5714285714285716,0.7518796992481204
Mecklenburg-Vorpommern,Mathematik,885012,0.060382640628751476,1,1.0,2,0.06060606060606061,2,0.011627906976744186,2.0,0.3185840707964602
Mecklenburg-Vorpommern,Psychologie,885012,0.060382640628751476,3,0.6,2,0.058823529411764705,6,0.08,5.166666666666667,0.7380952380952381
Mecklenburg-Vorpommern,Theologie,885012,0.060382640628751476,1,0.3333333333333333,2,0.16666666666666666,2,0.13333333333333333,6.5,0.9285714285714286
Mecklenburg-Vorpommern,Sprachwissenschaften,885012,0.060382640628751476,1,0.2,1,0.047619047619047616,1,0.01818181818181818,7.0,0.5833333333333334
Thüringen,Alle,1223696,0.08349038861262974,11,0.4782608695652174,11,0.13580246913580246,24,0.06997084548104957,3.75,0.7345802398629354
Thüringen,Informatik,1223696,0.08349038861262974,3,0.3333333333333333,5,0.13513513513513514,9,0.11842105263157894,2.3333333333333335,0.4912280701754386
Thüringen,Mathematik,1223696,0.08349038861262974,1,1.0,1,0.030303030303030304,2,0.011627906976744186,6.0,0.9557522123893806
Thüringen,Psychologie,1223696,0.08349038861262974,4,0.8,2,0.058823529411764705,5,0.06666666666666667,4.0,0.5714285714285714
Thüringen,Theologie,1223696,0.08349038861262974,1,0.3333333333333333,3,0.25,6,0.4,4.666666666666667,0.6666666666666667
Thüringen,Sprachwissenschaften,1223696,0.08349038861262974,2,0.4,2,0.09523809523809523,2,0.03636363636363636,4.5,0.375
Sachsen,Alle,2409522,0.16439698107265271,16,0.6956521739130435,35,0.43209876543209874,113,0.3294460641399417,4.017699115044247,0.7870193012336818
